Physical_Quantity,Value,Unit
Potential Type,Double Barrier,
Spatial Grid Points Nx,1001,
Requested Time Steps Nt,10000,
Completed Time Steps,10000,
Domain Length,4,nm
Wavelength,0.16,nm
Wavepacket Width,0.16,nm
Initial Position x0/L,0.25,
Potential Height,62,eV
Barrier Width,0.072,nm
Well Width,0.28,nm
Time Step,2.76415767589051e-20,s
Final Simulation Time,2.76415767589051e-16,s
Total Probability,1.00007066622598,
Reflection Probability,0.697221093809029,
Transmission Probability,0.08838534280223,
Interaction Probability,0.211899542227002,
Central-Well Probability,0.144032295764813,
Mean Position,1.66602481042229,nm
Mean Momentum,-2.50708634640692e-24,kg m/s
Mean Velocity,-2752202.17568714,m/s
Theoretical Kinetic Energy,58.7547103323244,eV
Initial Kinetic Energy,59.3689182395836,eV
Final Kinetic Energy,55.2647480334224,eV
Potential Energy,4.10769133771193,eV
Total Energy,59.3724393711343,eV
Position Uncertainty,3.66933681205795e-10,m
Momentum Uncertainty,3.13785292158683e-24,kg m/s
Uncertainty Product,1.15138392360021e-33,kg m^2/s
hbar / 2,5.27285863e-35,kg m^2/s
