TimeStep,Time_s,TotalProbability,MeanPosition_nm,KineticEnergy_eV,PotentialEnergy_eV,TotalEnergy_eV,Reflection,Transmission,InteractionProbability,CentralWellProbability
0,0,1,0.996,59.3689182395836,9.24581992826014e-11,59.368918239676,0.999999999998358,3.0639199700193e-27,1.28319238264162e-12,1.12071034727621e-14
100,2.76415767589051e-18,1.00000024722366,1.00851308980767,59.3689356875213,1.87860954441198e-10,59.3689356877092,1.00000024722029,1.15412028645206e-26,2.59292298049376e-12,2.89029994621538e-14
200,5.52831535178101e-18,1.00000090181855,1.02102657902229,59.3689814358214,3.78150042648972e-10,59.3689814361995,1.00000090181169,5.1456336799743e-26,5.17708336739066e-12,7.9371610417238e-14
300,8.29247302767152e-18,1.00000173758974,1.03354023830958,59.3690385254183,7.78309678170697e-10,59.3690385261966,1.00000173757556,1.23031960239949e-25,1.05657262608271e-11,1.68648034375953e-13
400,1.1056630703562e-17,1.00000247844033,1.04605379227168,59.3690867589675,1.62934043484123e-09,59.3690867605969,1.00000247841068,8.64799799282045e-24,2.19390426521258e-11,2.7592260640879e-13
500,1.38207883794525e-17,1.00000290214615,1.05856702270568,59.3691107723899,3.43210544053665e-09,59.369110775822,1.00000290208383,1.30587796114968e-19,4.5968784189842e-11,4.25513484755793e-13
600,1.6584946055343e-17,1.0000029149187,1.07107984145806,59.3691054525364,7.22527269320913e-09,59.3691054597616,1.00000291478778,1.11963047669982e-17,9.65666764420224e-11,6.85529202635886e-13
700,1.93491037312335e-17,1.00000256932286,1.08359230623058,59.369076630014,1.51524520714217e-08,59.3690766451665,1.00000256904879,2.83977781742724e-17,2.02537951561991e-10,1.21086613822341e-12
800,2.21132614071241e-17,1.00000202528429,1.09610457993895,59.3690373399628,3.15813948973904e-08,59.3690373715442,1.00000202471399,8.3592839123441e-17,4.22818749218096e-10,2.34880121094372e-12
900,2.48774190830146e-17,1.00000147780904,1.10861685780293,59.3690018534865,6.53041819335609e-08,59.3690019187907,1.00000147663157,1.60985293905468e-16,8.76471854990184e-10,4.87041933147347e-12
1000,2.76415767589051e-17,1.00000108497749,1.12112929579208,59.3689803238092,1.33786872973906e-07,59.368980457596,1.00000108256874,2.58052148354295e-16,1.80093406728878e-09,1.04680572105109e-11
1100,3.04057344347956e-17,1.0000009234906,1.13364196732995,59.3689760862685,2.71269287237655e-07,59.3689763575377,1.00000091861327,4.58309122045746e-16,3.66346536764087e-09,2.28084035023255e-11
1200,3.31698921106861e-17,1.00000098242487,1.1461548583327,59.3689860283074,5.4397257536044e-07,59.36898657228,1.00000097265711,9.05581253225451e-16,7.37123315956716e-09,4.9729787458934e-11
1300,3.59340497865766e-17,1.00000118850363,1.15866789341498,59.36900322314,1.07819549036407e-06,59.3690043013355,1.00000116916682,1.75184694657853e-15,1.46612894721736e-08,1.07761400561597e-10
1400,3.86982074624671e-17,1.00000144574026,1.17118097588918,59.3690202498416,2.11143787184407e-06,59.3690223612794,1.00000140791605,3.15260366120086e-15,2.88131248572721e-08,2.31282570043861e-10
1500,4.14623651383576e-17,1.00000167143462,1.18369402353854,59.3690314422249,4.0837697491299e-06,59.3690355259947,1.00000159835598,5.21956388385407e-15,5.59289599763123e-08,4.90774206959741e-10
1600,4.42265228142481e-17,1.00000181717165,1.19620698908258,59.3690337979787,7.79827736060737e-06,59.369041596256,1.00000167776083,8.03567530110174e-15,1.07193433663022e-07,1.02854829685785e-09
1700,4.69906804901386e-17,1.00000187236378,1.20871986313828,59.3690267291812,1.469713951788e-05,59.3690414263207,1.00000160986539,1.15624962840684e-14,2.02785299394312e-07,2.12751907880545e-09
1800,4.97548381660291e-17,1.00000185460663,1.22123266393298,59.3690099703189,2.73266762108353e-05,59.3690372969951,1.00000136696313,1.56673315709016e-14,3.78508386918194e-07,4.34092901198108e-09
1900,5.25189958419196e-17,1.00000179454644,1.23374542156462,59.3689814457402,5.01036245390959e-05,59.3690315493647,1.00000090117364,2.01763874822664e-14,6.96790012026225e-07,8.73244794360017e-09
2000,5.52831535178101e-17,1.00000172200683,1.24625816349538,59.3689361405471,9.05489997556203e-05,59.3690266895468,1.00000010866559,2.48732001023045e-14,1.26451522469206e-06,1.731241026993e-08
2100,5.80473111937006e-17,1.00000165649494,1.25877090389588,59.3688626414436,0.000161231799339211,59.369023873243,0.999998785630432,2.95519569052656e-14,2.26131485805508e-06,3.38156193802061e-08
2200,6.08114688695911e-17,1.00000160369404,1.27128363879558,59.3687393601709,0.000282768142133943,59.369022128313,0.999996571414467,3.40828954122794e-14,3.98352092433231e-06,6.50610041626173e-08
2300,6.35756265454816e-17,1.00000155822319,1.28379634822534,59.3685325266333,0.000488361435609068,59.3690208880689,0.999992870329682,3.84633946996819e-14,6.91118130165732e-06,1.23286374567508e-07
2400,6.63397842213721e-17,1.00000151085219,1.29630900385261,59.3681884211289,0.000830548717566509,59.3690189698464,0.999986738288779,4.28861273185611e-14,1.1808371277193e-05,2.3007997184801e-07
2500,6.91039418972627e-17,1.00000146043178,1.30882158330695,59.3676224101619,0.00139102981304066,59.369013439975,0.999976718609582,4.79235924665287e-14,1.98706109132705e-05,4.22862033482909e-07
2600,7.18680995731532e-17,1.00000142955302,1.32133408946646,59.3667105371194,0.00229466570262562,59.3690052028221,0.99996060621593,5.49143716149184e-14,3.29368992385594e-05,7.65330580160207e-07
2700,7.46322572490437e-17,1.0000014740132,1.33384655783436,59.365270563299,0.00372884362400651,59.368999406923,0.999935108289671,6.68744127024046e-14,5.37865986620844e-05,1.36388938676957e-06
2800,7.73964149249342e-17,1.00000167256044,1.3463590274417,59.3630333083167,0.00596933319529419,59.369002641512,0.999895366579986,9.06249133115484e-14,8.65416653840122e-05,2.39283354005151e-06
2900,8.01605726008247e-17,1.00000208286248,1.35887144889152,59.3596133448705,0.00941343362151636,59.369026778492,0.999834310701376,1.41940071644358e-13,0.000137191171801598,4.13200428632627e-06
3000,8.29247302767152e-17,1.00000265502119,1.37138351357129,59.3544603105295,0.0146206690151792,59.3690809795446,0.999741824772185,2.57771445960342e-13,0.000214248174948097,7.02178410416064e-06
3100,8.56888879526057e-17,1.00000312971405,1.38389444793453,59.3467936670118,0.0223608078820773,59.3691544748939,0.999603751358078,5.25272009555379e-13,0.00032954216864673,1.17417428344902e-05
3200,8.84530456284962e-17,1.00000299680313,1.39640289937896,59.3355426074016,0.0336688719336976,59.3692114793353,0.999400804846204,1.14960374926223e-12,0.000499148893937636,1.9320918296068e-05
3300,9.12172033043867e-17,1.00000161404276,1.4089070834987,59.3192815074471,0.0499071457275911,59.3691886531747,0.999107482896044,2.60790761931245e-12,0.000744465644190956,3.12893102925742e-05
3400,9.39813609802772e-17,0.999998561864127,1.42140532137006,59.2961764256989,0.0728345165663032,59.3690109422652,0.998691037353994,5.99353177587047e-12,0.00109344733126306,4.9880930431417e-05
3500,9.67455186561677e-17,0.999994188486914,1.43389688643793,59.2639648048077,0.104682295563281,59.368647100371,0.998110469846847,1.37692088557872e-11,0.00158200609025104,7.82976193978252e-05
3600,9.95096763320582e-17,0.999990089588452,1.44638272338574,59.2199386981457,0.148231517184528,59.3681702153302,0.997315385545301,3.13829321970043e-11,0.00225551853722266,0.00012103903362235
3700,1.02273834007949e-16,0.999989096361933,1.45886530678326,59.1609117485013,0.206879128064472,59.3677908765657,0.99624450208868,7.06550632103505e-11,0.00317026877100154,0.000184298135375744
3800,1.05037991683839e-16,0.999994367608827,1.47134694131757,59.0831560032632,0.284671806698291,59.3678278099615,0.994823775927413,1.56718939685784e-10,0.004394512849974,0.000276415350851804
3900,1.0780214935973e-16,1.0000075286627,1.48382640179637,58.9822862987214,0.386282068227356,59.3685683669488,0.992964511320766,3.41886952204247e-10,0.00600876410825447,0.000408381266603642
4000,1.1056630703562e-16,1.00002645930466,1.49629494215627,58.8531431644773,0.516907911446731,59.3700510759241,0.990562348873488,7.32618994118295e-10,0.00810497096398803,0.000594378318490776
4100,1.13330464711511e-16,1.00004399422624,1.50873384449491,58.6897809611129,0.682096990097898,59.3718779512108,0.98749835679265,1.54064109071465e-09,0.0107845367476045,0.000852352594897515
