Position_nm,Real_Wavefunction,Imaginary_Wavefunction,ProbabilityDensity,PotentialEnergy_eV
0,0,0,0,0
0.004,-0.601444250072003,3.89376339448945,15.5231285582107,0
0.008,-1.21544049391861,7.70480324943112,60.8412887067015,0
0.012,-1.85387062038503,11.3517173198623,132.298322387188,0
0.016,-2.52657308554562,14.7563962028579,224.134800452321,0
0.02,-3.24111034353882,17.8454820169323,328.966024675648,0
0.024,-4.00174194011016,20.5520870973682,438.402222613043,0
0.028,-4.80879781298674,22.8171361903521,543.746240335263,0
0.032,-5.65842111364858,24.5907105285924,636.720773800409,0
0.036,-6.54244894077068,25.8329428815312,710.144576063044,0
0.04,-7.44789631668,26.5149970975795,758.516230628665,0
0.044,-8.35782234654752,26.619287343753,778.439653065738,0
0.048,-9.25092106573554,26.1404786239559,768.904163253968,0
0.052,-10.1024173356367,25.0857133568653,731.351850646185,0
0.056,-10.8847882472192,23.4746542709441,669.538008327153,0
0.06,-11.5682659850398,21.3393269810444,589.191653904559,0
0.064,-12.1220616462313,18.7234341506579,497.511364949054,0
0.068,-12.5154893362587,15.6814628193522,402.545749480731,0
0.072,-12.7188447363735,12.2776812890978,312.510469264638,0
0.076,-12.7048058431673,8.58495783827796,235.113592597587,0
0.08,-12.4495918865385,4.68337296865356,176.926320504879,0
0.084,-11.9336267308637,0.658890335048091,142.845583425205,0
0.088,-11.1434255695058,-3.39877177100748,135.727582974513,0
0.092,-10.0717184862641,-7.39786654135404,156.16794263024,0
0.096,-8.71858981186727,-11.2469904888268,202.508603363357,0
0.1,-7.0920807952469,-14.8571656675051,271.032981678002,0
0.104,-5.20846126857631,-18.1438410949578,356.327038465338,0
0.108,-3.09229948934081,-21.0286912825716,451.768173189479,0
0.112,-0.77672621778503,-23.4415735810875,550.110675574933,0
0.116,1.69750995779529,-25.3222140071697,644.096062281714,0
0.12,4.28212546337978,-26.6219685507145,727.065807999359,0
0.124,6.92236019300666,-27.3053109116012,793.499074620933,0
0.128,9.55851552291209,-27.350909334508,839.437460426227,0
0.132,12.1266071556999,-26.752403622816,862.745700706731,0
0.136,14.5605016744947,-25.5185704977254,863.205649260342,0
0.14,16.7933537353925,-23.6733917803829,842.446208069525,0
0.144,18.7593272239185,-21.2555866719298,803.71232266197,0
0.148,20.3956595920431,-18.3181261879716,751.536677232952,0
0.152,21.6448938866128,-14.9272197969025,691.323322227766,0
0.156,22.4561332182025,-11.1610359660528,628.846642949183,0
0.16,22.7877274671015,-7.10786440734453,569.802259548089,0
0.164,22.608160056876,-2.86390560341906,519.330856462617,0
0.168,21.897787084989,1.46907884314691,481.671271866892,0
0.172,20.650167913666,5.78608980014378,459.908270037927,0
0.176,18.8725810074321,9.98151261992209,455.804908063751,0
0.18,16.5869045274961,13.9515400474386,469.770871499553,0
0.184,13.8298965998715,17.5965955286327,500.906214161435,0
0.188,10.652526203732,20.8241446210853,547.121313721073,0
0.192,7.11939090425063,23.550947564821,605.332858048476,0
0.196,3.30764732387324,25.7053935022809,671.70778592623,0
0.2,-0.695358741218152,27.2295376663237,741.931245300729,0
0.204,-4.79310585896994,28.080356942935,811.480309817928,0
0.208,-8.8829516949348,28.2310488177789,875.898948166362,0
0.212,-12.8584392861794,27.6717898393386,931.067413788885,0
0.216,-16.6123209875437,26.4100563304828,973.460283972459,0
0.22,-20.0398107553563,24.4709856365835,1000.42315313637,0
0.224,-23.0420256233769,21.8969645166687,1010.41199987261,0
0.228,-25.5287357455878,18.7465398501111,1003.14910511985,0
0.232,-27.4218853979572,15.0936487345252,979.77803089993,0
0.236,-28.6578081771445,11.0255457867859,942.832629414523,0
0.24,-29.1895218137882,6.64094794645569,896.13037334515,0
0.244,-28.9891506058012,2.04816893872937,844.565848847403,0
0.248,-28.048817760995,-2.63773947819238,793.693847344324,0
0.252,-26.3820864311316,-7.29731919255265,749.265351857695,0
0.256,-24.023859230377,-11.8094615968121,716.609195527553,0
0.26,-21.0297806646509,-16.0546194655659,700.002480987452,0
0.264,-17.4745948971479,-19.9176132416521,702.07278406346,0
0.268,-13.4504959333622,-23.2904257485924,723.359772404088,0
0.272,-9.06398722271138,-26.075611078223,762.093357476221,0
0.276,-4.43339442892074,-28.1882141032108,814.230400490836,0
0.28,0.315037301721455,-29.5589771500574,873.832378659094,0
0.284,5.05088750599274,-30.1364814898525,933.718981186415,0
0.288,9.6438173536879,-29.8888686742795,986.347683779618,0
0.292,13.9679896870167,-28.8058006874804,1024.87888914345,0
0.296,17.9061020091223,-26.8994188744419,1044.20722494378,0
0.3,21.3532738732507,-24.2047051051808,1041.83005433482,0
0.304,24.2200720564468,-20.7800451210241,1018.42216565127,0
0.308,26.4353687450316,-16.7065562383303,977.937742030285,0
0.312,27.9480877558711,-12.086588774,927.181237401654,0
0.316,28.7288625774407,-7.04258454536284,874.945542072058,0
0.32,28.770438908248,-1.71352338255564,830.674317355797,0
0.324,28.0875475009907,3.74775107541195,802.955962743662,0
0.328,26.7153885911006,9.17873183084411,797.961105596057,0
0.332,24.7079652331838,14.4116708614566,818.179802983173,0
0.336,22.1350349164923,19.2784876833086,861.619858109813,0
0.34,19.0791318739933,23.6158580167503,921.722022932537,0
0.344,15.6323587582676,27.2713547770149,988.097431721,0
0.348,11.8924169360125,30.1087348311117,1047.96549371016,0
0.352,7.95926816457039,32.013842506185,1088.23606172636,0
0.356,3.93168718727464,32.8999247364196,1097.86321180065,0
0.36,-0.0961852398918972,32.7115714602834,1070.0561590016,0
0.364,-4.03714539735365,31.4288477863801,1004.07101613882,0
0.368,-7.81291032125566,29.0694847426365,906.076510890357,0
0.372,-11.3556549106521,25.6906818168579,788.962030664851,0
0.376,-14.6079844327552,21.3889780319487,670.881590438804,0
0.38,-17.5231129910431,16.2992283920945,572.724335074523,0
0.384,-20.0640698789319,10.5909169196033,514.734421304603,0
0.388,-22.2018354594288,4.46368425455369,512.845974891903,0
0.392,-23.9141216874608,-1.85948169478877,575.342888255939,0
0.396,-25.1829838562993,-8.13981380564324,700.439244697172,0
0.4,-25.9927176975638,-14.1318781828942,875.331354281406,0
0.404,-26.3287043648683,-19.5930306479539,1077.08752350429,0
0.408,-26.1757630208998,-24.2938295027011,1275.36072163262,0
0.412,-25.5175685287837,-28.0286078851817,1436.74916360244,0
0.416,-24.3370691517985,-30.6252931717938,1530.20151675774,0
0.42,-22.6168770409585,-31.95528188013,1532.6631671244,0
0.424,-20.3412562774676,-31.9408678276306,1433.98574452778,0
0.428,-17.4992781847397,-30.5614473737972,1240.22680256828,0
0.432,-14.0878138548752,-27.857218118793,974.491100527619,0
0.436,-10.1163414618379,-23.9302928619046,674.999281029022,0
0.44,-5.61094669279803,-18.9429202711199,390.316951187427,0
0.444,-0.618608160240064,-13.1134627484131,172.345581309935,0
0.448,4.78900939061419,-6.70813284142525,67.9336571615988,0
0.452,10.5123963192625,-0.0310968336803535,110.511443386308,0
0.456,16.4223825363165,6.58848239476244,313.102748435208,0
0.46,22.3592687903626,12.8118644101111,664.080770502754,0
0.464,28.1343224203396,18.3064283029302,1126.66541526195,0
0.468,33.5332307675849,22.7631008044274,1642.63632394462,0
0.472,38.3218482002606,25.913586388721,2140.07800900953,0
0.476,42.254457783825,27.5461112725132,2544.22744884273,0
0.48,45.0835932382938,27.5200790572294,2789.88513059209,0
0.484,46.5721376547237,25.7777519066785,2833.4564990928,0
0.488,46.5058463253825,22.351784365592,2662.39600676602,0
0.492,44.7079193308677,17.3695455320105,2300.49916288396,0
0.496,41.0525542060791,11.0522400588994,1807.46421716261,0
0.5,35.4788577300312,3.70904177577186,1272.50633672222,0
0.504,28.0028285745505,-4.27299213636712,802.416869973117,0
0.508,18.7268885834131,-12.4448943201125,505.571750654337,0
0.512,7.84611071769414,-20.3156087319513,474.28541154405,0
0.516,-4.34887539971653,-27.3759500243228,768.355356976479,0
