Position_nm,Real_Wavefunction,Imaginary_Wavefunction,ProbabilityDensity,PotentialEnergy_eV
0,0,0,0,0
0.004,7.16143492317836e-06,-2.43572219189009e-05,6.44560409765507e-10,-2.3976
0.008,5.59751735709392e-07,-4.22313380454637e-06,1.81481811367319e-11,-4.7904
0.012,-8.56905094282098e-06,2.27754230718809e-05,5.92148530163824e-10,-7.1784
0.016,1.15900336625294e-06,8.1795783974945e-06,6.82487915637443e-11,-9.5616
0.02,6.49590024171313e-06,-2.03052396589005e-05,4.54499477555674e-10,-11.94
0.024,1.53353149231551e-06,-1.07036197958141e-05,1.16919195571267e-10,-14.3136
0.028,-8.42025424895805e-06,1.63587969371859e-05,3.3851091884918e-10,-16.6824
0.032,-4.41694146142302e-07,1.24481308764707e-05,1.55151056036479e-10,-19.0464
0.036,6.05093905412239e-06,-1.23846780323586e-05,1.8999411340189e-10,-21.4056
0.04,2.68009255831959e-06,-1.21749966513034e-05,1.55413439580408e-10,-23.76
0.044,-5.23183988114123e-06,7.84966879598472e-06,8.89894487485561e-11,-26.1096
0.048,-3.39212897329771e-06,1.08742511481138e-05,1.2975587700374e-10,-28.4544
0.052,2.82915718413772e-06,-4.28389561950729e-06,2.63558920513918e-11,-30.7944
0.056,3.94808057617957e-06,-7.67110420797821e-06,7.44331800056674e-11,-33.1296
0.06,3.75413992048194e-07,9.83416193689236e-07,1.10804307543579e-12,-35.46
0.064,-4.07094546129527e-06,4.31012145599867e-06,3.51497439143007e-11,-37.7856
0.068,-3.71318391932795e-06,1.37258375023828e-07,1.38065746802699e-11,-40.1064
0.072,3.31514995936185e-06,4.92099758497378e-07,1.123238142537e-11,-42.4224
0.076,6.57211626934778e-06,-1.1125435701237e-06,4.44304654532494e-11,-44.7336
0.08,-1.06279336057663e-06,-3.60515491991527e-06,1.41266717238751e-11,-47.04
0.084,-9.52210820528364e-06,-6.44648322011799e-07,9.10861161322026e-11,-49.3416
0.088,-9.54856034650422e-07,7.30306154959143e-06,5.42464580440292e-11,-51.6384
0.092,1.05075062680531e-05,1.69799723746443e-06,1.13290882591613e-10,-53.9304
0.096,3.58298828822928e-06,-8.0662446494615e-06,7.79021078185544e-11,-56.2176
0.1,-9.97936983139048e-06,-4.3332579035959e-06,1.18364946290743e-10,-58.5
0.104,-6.37125352893757e-06,8.35172678820425e-06,1.10344211874808e-10,-60.7776
0.108,9.26200313114065e-06,5.48235526214893e-06,1.15840921221671e-10,-63.0504
0.112,6.15303743667322e-06,-6.30170797863988e-06,7.75713931451556e-11,-65.3184
0.116,-4.95754325029762e-06,-6.11285936466053e-06,6.19442846906895e-11,-67.5816
0.12,-7.24324822206353e-06,3.62848667808827e-06,6.56305603794905e-11,-69.84
0.124,3.13121727891239e-06,4.90125486879156e-06,3.38268209366125e-11,-72.0936
0.128,3.83530847188771e-06,-2.94259252713594e-07,1.47961795823412e-11,-74.3424
0.132,9.46141459665743e-07,-2.58257141134444e-06,7.56485875639205e-12,-76.5864
0.136,-1.06289971221402e-06,-2.06025956598598e-06,5.3744252774614e-12,-78.8256
0.14,-2.83560411032574e-06,-1.49154186259401e-06,1.02653477983666e-11,-81.06
0.144,-2.69329827168376e-06,4.24594827801916e-06,2.52819323598685e-11,-83.2896
0.148,2.82620804809963e-06,4.5493186229626e-06,2.86837518643774e-11,-85.5144
0.152,7.37498769425279e-06,-3.42662098358896e-06,6.61321748555523e-11,-87.7344
0.156,-3.29206531899862e-06,-8.64609642796468e-06,8.5592677506217e-11,-89.9496
0.16,-8.3709891011619e-06,3.22854190200156e-06,8.04969413447512e-11,-92.16
0.164,1.25315177097633e-07,9.01984747563086e-06,8.13733523772553e-11,-94.3656
0.168,9.96462192921686e-06,-1.00863377322134e-07,9.93038636131143e-11,-96.5664
0.172,9.46865444847995e-07,-9.31916777778871e-06,8.77434422412226e-11,-98.7624
0.176,-7.45096362374585e-06,-1.0801234277213e-06,5.66835255414963e-11,-100.9536
0.18,-2.74019299078343e-06,5.83149237823449e-06,4.15149609841457e-11,-103.14
0.184,3.83892546210323e-06,2.8262722208508e-06,2.27251633699374e-11,-105.3216
0.188,3.21644864286253e-06,-2.07420953220313e-06,1.46478870556545e-11,-107.4984
0.192,8.38228843987058e-09,-2.23841901304044e-06,5.01058994070044e-12,-109.6704
0.196,-1.03942760562737e-06,-2.70943150039472e-06,8.42142880267142e-12,-111.8376
0.2,-4.95566647360187e-06,7.55094488680854e-07,2.51287978844178e-11,-114
0.204,-6.54353477101281e-07,6.04960833528458e-06,3.70259394833392e-11,-116.1576
0.208,6.70322843687748e-06,2.22849466038732e-06,4.98994599283377e-11,-118.3104
0.212,4.23347936500452e-06,-8.21846465373301e-06,8.5465508798578e-11,-120.4584
0.216,-7.58650896528888e-06,-4.15672046615848e-06,7.48334433141894e-11,-122.6016
0.22,-6.04659755342759e-06,6.77785225755046e-06,8.25006231982983e-11,-124.74
0.224,5.72700035433956e-06,6.52544587047403e-06,7.5379976867092e-11,-126.8736
0.228,6.31544916502236e-06,-5.23776229575012e-06,6.73190520227632e-11,-129.0024
0.232,-2.33702591001043e-06,-4.80399603530666e-06,2.85400680113022e-11,-131.1264
0.236,-4.7276281419741e-06,3.58367506272537e-07,2.24788951183374e-11,-133.2456
0.24,-8.62551139063446e-07,3.37037670712737e-06,1.21034336154464e-11,-135.36
0.244,8.68269551653671e-07,2.01875306804216e-06,4.8292559640585e-12,-137.4696
0.248,3.43575113888439e-06,1.43713481297007e-06,1.38697423589959e-11,-139.5744
0.252,3.59737038591348e-06,-4.57651493296427e-06,3.38855626250922e-11,-141.6744
0.256,-4.4202361495145e-06,-5.27922430479211e-06,4.74086968777825e-11,-143.7696
0.26,-6.78586006482799e-06,4.72255685373141e-06,6.83504400561529e-11,-145.86
0.264,2.72345341744952e-06,7.48732769905883e-06,6.34772745901111e-11,-147.9456
0.268,9.00139287049199e-06,-2.19247741160174e-06,8.58320308093279e-11,-150.0264
0.272,-1.30395813368934e-06,-8.75807279588588e-06,7.84041459124509e-11,-152.1024
0.276,-6.75423962441255e-06,9.63361580286822e-07,4.65478184383574e-11,-154.1736
0.28,-1.87937918810131e-06,4.68477774880118e-06,2.5479208688331e-11,-156.24
