Position_nm,Real_Wavefunction,Imaginary_Wavefunction,ProbabilityDensity,PotentialEnergy_eV
0,0,0,0,0
0.004,-0.600325236887327,3.89448233928173,15.5273830810211,0
0.008,-1.21342217545544,7.70582054119039,60.8520635889188,0
0.012,-1.85110815193783,11.3525934043323,132.30797839426,0
0.016,-2.52343017243725,14.7567114823992,224.128233609938,0
0.02,-3.23793155559822,17.8449379821102,328.926012344098,0
0.024,-3.99892019415416,20.5504583738306,438.312702093757,0
0.028,-4.8068313708149,22.8143005257909,543.597936308555,0
0.032,-5.65783282710229,24.5865349194014,636.508771642382,0
0.036,-6.54364238701736,25.8273131196914,709.869358671753,0
0.04,-7.451458763,26.5077923203682,758.187291396461,0
0.044,-8.36401681295862,26.6108828666871,778.095864191994,0
0.048,-9.25991748664241,26.13165020525,768.609214308967,0
0.052,-10.1141966181689,25.077518917495,731.178928288299,0
0.056,-10.8990084759867,23.4682806564008,669.548582727225,0
0.06,-11.5844203643686,21.3358542915185,589.417473527308,0
0.064,-12.1393863947428,18.7237523635979,497.943604614203,0
0.068,-12.5328737369168,15.6862734179047,403.132097846763,0
0.072,-12.7350154830804,12.2875312190604,313.164042813681,0
0.076,-12.7182778395275,8.60021944935304,235.718365780446,0
0.08,-12.4586527333741,4.7041770226669,177.347309391397,0
0.084,-11.9368240373018,0.68477120124481,142.956679695561,0
0.088,-11.139210091805,-3.3688878191963,135.431406607699,0
0.092,-10.058884872211,-7.36584095103311,155.436777788312,0
0.096,-8.6963853144679,-11.2152701341532,201.409401719721,0
0.1,-7.06029234333022,-14.8284779871558,269.73148738885,0
0.104,-5.16754606303587,-18.120935082529,355.071820578828,0
0.108,-3.04356457088822,-21.0143017073893,450.864161546352,0
0.112,-0.722132911358436,-23.4383011526599,549.875436864446,0
0.116,1.75501380435107,-25.3324490355058,644.813047589964,0
0.12,4.33893134353138,-26.6476286680536,728.922438834351,0
0.124,6.97441816940363,-27.3475131253498,796.52898294289,0
0.128,9.60116391809906,-27.4096433032256,843.47089459227,0
0.132,12.1551752557893,-26.8261889655245,867.392699912982,0
0.136,14.5704149708446,-25.604446190587,867.884657149276,0
0.14,16.7805616820099,-23.7669851907322,846.456835420222,0
0.144,18.7208289571113,-21.3514278115721,806.352906434192,0
0.148,20.3298909943753,-18.4098163646043,752.225806421633,0
0.152,21.5517923406634,-15.007672544409,689.709988295289,0
0.156,22.3377750699532,-11.2226757215393,624.92464542665,0
0.16,22.64801794255,-7.14298799331737,563.954994198744,0
0.164,22.4531933191727,-2.86532400778652,512.35597189774,0
0.168,21.7357801857886,1.50726114008533,474.715976429332,0
0.172,20.491071298746,5.8678176084257,454.315286456044,0
0.176,18.7279224536089,10.1081355494424,452.909483714291,0
0.18,16.4691489711181,14.1214028822308,470.646887195154,0
0.184,13.7514713576141,17.804900188551,506.117435223545,0
0.188,10.6250769432876,21.0627375510895,556.531173196858,0
0.192,7.15282395412092,23.8084445001391,618.004920034852,0
0.196,3.4090614067507,25.9673588940067,685.925427605146,0
0.2,-0.521985801180377,27.4787538756294,755.354383734051,0
0.204,-4.5481592266014,28.2977048516968,821.445852224262,0
