Physical_Quantity,Value,Unit
Potential Type,Free Particle,
Spatial Grid Points Nx,1001,
Requested Time Steps Nt,10000,
Completed Time Steps,10000,
Domain Length,4,nm
Wavelength,0.16,nm
Wavepacket Width,0.16,nm
Initial Position x0/L,0.25,
Potential Height,-600,eV
Barrier Width,0.48,nm
Well Width,0.28,nm
Time Step,2.76415767589051e-20,s
Final Simulation Time,2.76415767589051e-16,s
Total Probability,1.00000163098245,
Reflection Probability,NaN,
Transmission Probability,NaN,
Interaction Probability,NaN,
Central-Well Probability,NaN,
Mean Position,2.24728421616286,nm
Mean Momentum,4.12364313466946e-24,kg m/s
Mean Velocity,4526808.42973748,m/s
Theoretical Kinetic Energy,58.7547103323244,eV
Initial Kinetic Energy,59.3689182395836,eV
Final Kinetic Energy,59.3690245404206,eV
Potential Energy,0,eV
Total Energy,59.3690245404206,eV
Position Uncertainty,1.79716537663177e-10,m
Momentum Uncertainty,5.70259034694984e-25,kg m/s
Uncertainty Product,1.02484979286528e-34,kg m^2/s
hbar / 2,5.27285863e-35,kg m^2/s
