Position_nm,Real_Wavefunction,Imaginary_Wavefunction,ProbabilityDensity,PotentialEnergy_eV
0,0,0,0,0
0.004,-0.600317567861727,3.89446034640857,15.5272025720322,0
0.008,-1.21342158208772,7.70582179195852,60.852081425299,0
0.012,-1.85110938694422,11.3526199590692,132.30858589749,0
0.016,-2.52342026556566,14.7567160434584,224.12831822393,0
0.02,-3.23792317931262,17.8449242234206,328.925467054753,0
0.024,-3.99892622038564,20.550467591133,438.313129130296,0
0.028,-4.80683429868057,22.8143299022452,543.59930486345,0
0.032,-5.65781930316372,24.5865452183134,636.509125039423,0
0.036,-6.54363241166035,25.8273038778413,709.868750737289,0
0.04,-7.45146224713428,26.5077995027842,758.187724100276,0
0.044,-8.36401682769943,26.6108986418961,778.096704023306,0
0.048,-9.2599083026052,26.1316480731861,768.608932793509,0
0.052,-10.1141941743456,25.0775048391527,731.178172754092,0
0.056,-10.8990169378325,23.4682734778491,669.548430242274,0
0.06,-11.5844283320972,21.3358487544665,589.417421854967,0
0.064,-12.1393928410686,18.7237375159511,497.943205116021,0
0.068,-12.5328802249033,15.6862645159557,403.131981196304,0
0.072,-12.7350174019497,12.2875273150207,313.163995745344,0
0.076,-12.7182799155703,8.60020761729133,235.718215071315,0
0.08,-12.4586657492293,4.7041683687844,177.34755229289,0
0.084,-11.9368360463038,0.6847809919947,142.956979803335,0
0.088,-11.1392052620778,-3.3688758707752,135.431218503393,0
0.092,-10.0588813527962,-7.36584958756112,155.436834216206,0
0.096,-8.69639947670792,-11.2152741067023,201.409737146952,0
0.1,-7.06029948811914,-14.8284568285107,269.730960776942,0
0.104,-5.16752673538457,-18.1209156103169,355.070915117142,0
0.108,-3.04354101968591,-21.0143040323226,450.864115901402,0
0.112,-0.722126577867495,-23.4383044729148,549.87558335952,0
0.116,1.75502023911842,-25.3324330012569,644.812257802884,0
0.12,4.33895293656427,-26.6476149460335,728.921894897789,0
0.124,6.97444047709379,-27.3475162553745,796.529465306496,0
0.128,9.60117659931514,-27.4096530443218,843.471672101339,0
0.132,12.1551817470341,-26.826200246115,867.393462948091,0
0.136,14.5704178862301,-25.6044581755079,867.885355840706,0
0.14,16.780560876207,-23.7669991845487,846.457473558426,0
0.144,18.7208301418735,-21.3514487740748,806.353845952819,0
0.148,20.3298820198027,-18.4098530353466,752.226791722156,0
0.152,21.5517559476754,-15.0077089057426,689.709511027666,0
0.156,22.3377268172414,-11.2226898210225,624.922806180587,0
0.16,22.6479795070368,-7.14299258012271,563.953318750848,0
0.164,22.453156332078,-2.86533352869658,512.354365503407,0
0.168,21.7357243366285,1.50726171423668,474.713550313107,0
0.172,20.4910103226245,5.86785373313507,454.313211475371,0
0.176,18.7278840443109,10.1081992047511,452.909331940086,0
0.18,16.4691349110463,14.1214715557594,470.648363618364,0
0.184,13.7514715001243,17.8049716463627,506.119983746511,0
0.188,10.6250903536491,21.062815678209,556.534749317415,0
0.192,7.152862656247,23.8085318510648,618.009633082298,0
0.196,3.40913735615182,25.9674447005953,685.930401791583,0
0.2,-0.521870826531457,27.4788183526549,755.357807217791,0
